USDCAD;2014.04.22;23494;12391
USDCAD;2014.04.29;23047;15276
USDCAD;2014.05.06;24692;15184
USDCAD;2014.05.13;25514;20885
USDCAD;2014.05.20;25401;21276
USDCAD;2014.05.27;25172;28125
USDCAD;2014.06.03;25426;27730
USDCAD;2014.06.10;22614;22471
USDCAD;2014.06.17;21019;25774
EURUSD;2013.01.08;25030;28997
EURUSD;2013.01.15;22157;46243
EURUSD;2013.01.22;21957;63485
EURUSD;2013.01.29;25132;76748
EURUSD;2013.02.05;27323;92528
EURUSD;2013.02.12;30560;86284
EURUSD;2013.02.19;29739;77151
EURUSD;2013.02.26;38435;55276
EURUSD;2013.03.05;53287;31129
EURUSD;2013.03.12;46734;23677
EURUSD;2013.03.19;53922;10254
EURUSD;2013.03.26;66753;11725
EURUSD;2013.04.02;92230;11348
EURUSD;2013.04.09;84690;12160
EURUSD;2013.04.16;64145;15288
EURUSD;2013.04.23;68299;17535
EURUSD;2013.04.30;56250;20448
EURUSD;2013.05.07;50458;18078
EURUSD;2013.05.14;67755;14606
EURUSD;2013.05.21;92070;14230
EURUSD;2013.05.28;94917;13980
EURUSD;2013.06.04;69606;17509
EURUSD;2013.06.11;40056;32656
EURUSD;2013.06.18;26016;29409
EURUSD;2013.06.25;26597;31093
EURUSD;2013.07.02;43772;10197
EURUSD;2013.07.09;72004;8717
EURUSD;2013.07.16;70762;12181
EURUSD;2013.07.23;56886;12843
EURUSD;2013.07.30;45943;16770
EURUSD;2013.08.06;41399;27063
EURUSD;2013.08.13;34945;25316
EURUSD;2013.08.20;28258;44447
EURUSD;2013.08.27;27609;49639
EURUSD;2013.09.03;34973;27675
EURUSD;2013.09.10;41131;27086
EURUSD;2013.09.17;21900;30183
EURUSD;2013.09.24;17266;77960
EURUSD;2013.10.01;18832;83640
EURUSD;2013.10.08;22497;86821
EURUSD;2013.10.15;26647;83915
EURUSD;2013.10.22;29963;105281
EURUSD;2013.10.29;33835;107889
EURUSD;2013.11.05;35671;71020
EURUSD;2013.11.12;41892;41584
EURUSD;2013.11.19;46507;42745
EURUSD;2013.11.26;58983;35810
EURUSD;2013.12.03;56483;42376
EURUSD;2013.12.10;55235;48677
EURUSD;2013.12.17;24197;24696
EURUSD;2013.12.24;26369;31237
EURUSD;2013.12.31;27927;30789
EURUSD;2014.01.07;43982;24290
EURUSD;2014.01.14;49071;27267
EURUSD;2014.01.21;69496;24677
EURUSD;2014.01.28;69721;37878
EURUSD;2014.02.04;100802;23613
EURUSD;2014.02.11;96688;33479
EURUSD;2014.02.18;87336;47163
EURUSD;2014.02.25;85407;52613
EURUSD;2014.03.04;81771;58970
EURUSD;2014.03.11;73477;63301
EURUSD;2014.03.18;34889;31876
EURUSD;2014.03.25;42530;26612
EURUSD;2014.04.01;47949;26479
EURUSD;2014.04.08;58013;26687
EURUSD;2014.04.15;51748;28306
EURUSD;2014.04.22;50580;26292
EURUSD;2014.04.29;50893;29344
EURUSD;2014.05.06;41059;35135
EURUSD;2014.05.13;60718;25592
EURUSD;2014.05.20;73464;23477
EURUSD;2014.05.27;88065;22532
EURUSD;2014.06.03;106584;21193
EURUSD;2014.06.10;135220;25794
EURUSD;2014.06.17;122240;17681
GBPUSD;2013.01.08;9066;52204
GBPUSD;2013.01.15;11507;49501
GBPUSD;2013.01.22;27272;34548
GBPUSD;2013.01.29;50932;31364
GBPUSD;2013.02.05;64645;26750
GBPUSD;2013.02.12;79292;26106
GBPUSD;2013.02.19;98303;24518
GBPUSD;2013.02.26;125330;22261
GBPUSD;2013.03.05;145032;22963
GBPUSD;2013.03.12;153896;26188
GBPUSD;2013.03.19;105250;4520
GBPUSD;2013.03.26;107795;4068
GBPUSD;2013.04.02;105358;3496
GBPUSD;2013.04.09;103701;4436
GBPUSD;2013.04.16;100762;6514
GBPUSD;2013.04.23;99517;7199
GBPUSD;2013.04.30;86882;11602
GBPUSD;2013.05.07;88976;18090
GBPUSD;2013.05.14;90202;18917
GBPUSD;2013.05.21;107718;10078
GBPUSD;2013.05.28;114103;10451
GBPUSD;2013.06.04;114402;12945
GBPUSD;2013.06.11;92092;19730
GBPUSD;2013.06.18;40720;12983
GBPUSD;2013.06.25;39846;12500
GBPUSD;2013.07.02;53567;2975
GBPUSD;2013.07.09;67488;4619
GBPUSD;2013.07.16;82614;4240
GBPUSD;2013.07.23;84799;5637
GBPUSD;2013.07.30;79880;5145
GBPUSD;2013.08.06;73422;6269
GBPUSD;2013.08.13;71587;5865
GBPUSD;2013.08.20;55801;10355
GBPUSD;2013.08.27;56375;17390
GBPUSD;2013.09.03;57951;21737
GBPUSD;2013.09.10;48056;32588
GBPUSD;2013.09.17;1552;40702
GBPUSD;2013.09.24;4114;61963
GBPUSD;2013.10.01;4822;74298
GBPUSD;2013.10.08;7999;82231
GBPUSD;2013.10.15;9191;81577
GBPUSD;2013.10.22;10446;82300
GBPUSD;2013.10.29;14110;76506
GBPUSD;2013.11.05;17023;65725
GBPUSD;2013.11.12;17364;64321
GBPUSD;2013.11.19;19700;68781
GBPUSD;2013.11.26;31699;75470
GBPUSD;2013.12.03;31086;101510
GBPUSD;2013.12.10;36685;106155
GBPUSD;2013.12.17;14211;84500
GBPUSD;2013.12.24;13237;87282
GBPUSD;2013.12.31;13130;96342
GBPUSD;2014.01.07;13381;85032
GBPUSD;2014.01.14;13494;83892
GBPUSD;2014.01.21;13575;85598
GBPUSD;2014.01.28;14809;101520
GBPUSD;2014.02.04;15797;85358
GBPUSD;2014.02.11;19102;85412
GBPUSD;2014.02.18;17792;107788
GBPUSD;2014.02.25;19780;119262
GBPUSD;2014.03.04;18342;119563
GBPUSD;2014.03.11;28194;125235
GBPUSD;2014.03.18;7419;100490
GBPUSD;2014.03.25;9965;94041
GBPUSD;2014.04.01;8124;98318
GBPUSD;2014.04.08;7659;104778
GBPUSD;2014.04.15;7555;114776
GBPUSD;2014.04.22;7228;118023
