XAGUSD;2014.05.08;148;4;1531;18;13642;-154;5340;-21
XAGUSD;2014.05.09;99;9;1651;4;13695;-5;5186;-38
XAGUSD;2014.05.12;128;29;1652;1;13946;251;5201;15
XAGUSD;2014.05.13;493;-1;975;4;13465;-115;5889;7
XAGUSD;2014.05.14;507;14;975;0;13208;-257;6026;137
XAGUSD;2014.05.15;498;-9;998;23;13406;198;6046;20
XAGUSD;2014.05.16;212;0;1573;-19;13545;-147;5410;-42
XAGUSD;2014.05.19;227;15;1578;5;13473;-72;5417;7
XAGUSD;2014.05.20;218;-9;1567;-11;13412;-61;5439;22
XAGUSD;2014.05.21;208;-10;1569;2;13540;128;5376;-63
XAGUSD;2014.05.22;212;4;1562;-7;13512;-28;5784;408
XAGUSD;2014.05.23;212;0;1625;63;13689;177;5967;183
XAGUSD;2014.05.26;211;-1;1602;-23;13941;252;6212;245
XAGUSD;2014.05.28;89;5;6531;12;27165;965;16783;1433
XAGUSD;2014.05.29;152;63;6524;-7;27919;747;16963;207
XAGUSD;2014.05.30;465;313;6524;0;28684;761;17031;68
XAGUSD;2014.06.02;62;54;8281;23;29771;630;15739;442
XAGUSD;2014.06.03;64;2;8305;24;29825;70;15699;-40
XAGUSD;2014.06.04;117;3;8193;-2;29747;-28;15890;81
XAGUSD;2014.06.05;145;43;8188;-5;29811;64;16025;135
XAGUSD;2014.06.06;711;-2;6519;6;29613;370;17920;220
XAGUSD;2014.06.09;141;-7;8401;142;29969;693;15925;-255
XAGUSD;2014.06.10;709;0;6518;2;29313;-92;17820;22
XAGUSD;2014.06.11;706;-3;6526;8;29114;-199;17744;-76
XAGUSD;2014.06.12;706;0;6579;53;29580;466;17553;-186
XAGUSD;2014.06.13;2372;-121;5461;3;28102;310;18438;-236
XAGUSD;2014.06.16;2375;3;5475;14;27783;-320;18422;-11
XAGUSD;2014.06.17;2309;-64;5436;-39;27617;-166;18252;-163
XAGUSD;2014.06.18;2184;-125;5422;-14;27529;-88;18095;-157
XAGUSD;2014.06.19;2563;2;5208;3;27439;287;18544;232
XAGUSD;2014.06.20;7706;-293;2178;32;21783;-220;22853;1247
XAGUSD;2014.06.23;7297;-548;2140;2;22310;666;23810;917
XAGUSD;2014.06.24;6968;-277;1976;-164;22475;166;23741;-69
XAGUSD;2014.06.25;7849;-283;1726;1;21088;-225;24657;665
XAGUSD;2014.06.26;3985;-4;49;26;3683;286;8618;64
XAUUSD;2013.12.17;5483;155;27954;-68;71674;270;43930;122
XAUUSD;2013.12.18;4214;-76;30191;-61;76375;3508;42245;613
XAUUSD;2013.12.19;5517;466;29812;37;77458;1920;43470;809
XAUUSD;2013.12.20;167;-14;42427;-1978;84108;1314;28520;-357
XAUUSD;2013.12.23;978;489;36168;-366;84329;543;32723;-1690
XAUUSD;2013.12.24;206;18;40056;-702;84717;-402;27332;-801
XAUUSD;2013.12.25;1067;179;35739;-109;84106;71;30859;-681
XAUUSD;2013.12.27;2482;109;36646;10;217784;680;40573;1211
XAUUSD;2013.12.30;2538;56;37064;418;220628;2844;42159;1586
XAUUSD;2013.12.31;2522;174;37050;-458;221340;522;42143;428
XAUUSD;2014.01.02;2991;469;37100;50;221476;136;43123;980
XAUUSD;2014.01.03;5925;109;33097;106;219617;966;47976;744
XAUUSD;2014.03.12;27842;-46;12595;-9;0;0;0;0
