USDJPY;2014.03.26;102.99473;102.29279;101.91180;101.40699;103.77861;100.38073;101.96912
USDJPY;2014.03.27;102.58664;102.23884;101.91034;101.11493;103.76191;100.38009;101.97285
USDJPY;2014.03.28;103.02254;102.31824;102.34426;101.42080;104.38927;100.22539;102.34079
USDJPY;2014.03.31;103.40850;102.32829;102.07642;101.87021;104.20024;100.08038;102.11046
USDJPY;2014.04.01;104.02822;102.52965;102.96076;102.37970;104.23871;101.18716;102.87596
USDJPY;2014.04.02;104.72040;102.72217;103.27775;102.62876;103.87336;101.99159;103.11590
USDJPY;2014.04.03;104.71742;102.71647;103.30897;102.62202;103.88708;102.01311;103.13726
USDJPY;2014.04.04;104.63413;102.74404;103.62744;102.63719;103.75871;102.60928;103.33091
USDJPY;2014.04.07;104.10338;102.62651;101.93110;102.47809;105.57751;99.16915;101.98622
USDJPY;2014.04.08;103.30546;102.61736;101.96146;102.07998;105.36307;99.50759;102.00961
USDJPY;2014.04.09;102.61588;102.51909;101.77285;100.85991;105.27805;99.31514;101.85218
USDJPY;2014.04.10;102.59528;102.50250;101.71167;100.85001;104.94067;99.53052;101.79857
USDJPY;2014.04.11;102.29893;102.25648;101.14507;99.68187;104.29438;99.49368;101.30602
USDJPY;2014.04.14;102.56523;102.39063;101.27251;101.26511;104.53697;99.40353;101.39982
USDJPY;2014.04.15;102.56424;102.38865;101.11208;101.26556;104.22338;99.49999;101.26385
USDJPY;2014.04.16;102.55419;102.35403;101.32790;101.31012;104.31481;99.64102;101.45368
USDJPY;2014.04.17;102.88178;102.40927;101.79622;101.71920;104.50253;100.00463;101.86534
USDJPY;2014.04.18;102.88217;102.39544;101.73563;101.77660;104.28828;100.09874;101.81661
USDJPY;2014.04.21;102.88217;102.39544;101.73563;101.77660;104.28828;100.09874;101.81661
USDJPY;2014.04.22;103.25732;102.39087;102.08151;102.01417;104.70268;100.10905;102.11216
USDJPY;2014.04.23;103.25442;102.41105;102.07332;102.08725;104.64161;100.10398;102.10959
USDJPY;2014.04.24;102.88429;102.41547;101.52592;101.79107;103.95703;100.12724;101.63411
USDJPY;2014.04.25;102.88456;102.43271;102.33169;101.76440;104.16674;100.78581;102.34477
USDJPY;2014.04.28;102.88219;102.43381;101.37389;101.77895;104.13288;99.82392;101.48601
